listing_id,listing_name,host_id,host_name,property_type,room_type_id,location_id,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,number_of_reviews,actual_review_count,first_review_date,last_review_date,review_scores_rating,reviews_per_month
5204475,"Cute, clean studio prime location!",21370071,Lauren,Apartment,1,735,2,1.0,0.0,1.0,Real Bed,160.0,1,1125,0,0,,,0.0,0.0
8741711,Capitol Hill Apartment,45859720,Brad,Apartment,1,599,3,1.0,0.0,1.0,Real Bed,105.0,2,1125,4,4,2015-10-19,2015-11-25,100.0,1.54
3819831,Hardwood home on the Hill,13166405,Philip,Apartment,1,600,2,1.0,1.0,1.0,Real Bed,82.0,2,31,5,5,2014-09-03,2015-12-17,92.0,0.31
8267620,Wonderful open studio  Capitol Hill,5889695,Karim,Apartment,1,736,1,1.0,0.0,1.0,Real Bed,110.0,7,30,0,0,,,0.0,0.0
7087957,"Quaint, charming, updated studio",37151043,Jessica,Apartment,1,737,2,1.0,1.0,1.0,Real Bed,126.0,1,7,29,29,2015-07-19,2015-12-16,98.0,5.12
1520549,Io House (2P #1) - SLU walkable ,1243056,Andrew,House,3,601,1,0.5,1.0,1.0,Real Bed,65.0,4,1125,4,4,2013-12-23,2015-10-01,80.0,0.16
9094872,Funky Apartment - Historic Building,9016477,Claire,Apartment,1,738,2,1.0,1.0,1.0,Real Bed,99.0,20,1125,0,0,,,0.0,0.0
9414303,"Cozy, Amenity-Filled Apt in Cap Hill",5295850,Kelsey,Apartment,1,628,3,1.0,1.0,1.0,Real Bed,85.0,1,1125,1,1,2015-11-29,2015-11-29,100.0,0.81
26116,Adult Only Quiet 2/br Capitol Hill,110248,Jamilah,Apartment,1,602,4,1.0,2.0,2.0,Real Bed,199.0,2,60,110,110,2010-09-21,2015-12-26,97.0,1.71
7874053,Charming Getaway in the City,41500170,Joshua,Townhouse,1,603,4,1.0,2.0,2.0,Real Bed,250.0,1,1125,1,1,2015-09-13,2015-09-13,0.0,0.26
6452801,Private 2 BR OASIS,32940818,Joe & Ronnimae,House,1,604,4,1.0,2.0,2.0,Real Bed,159.0,1,1125,18,18,2015-05-31,2015-10-25,100.0,2.47
