date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
20160510,2016-05-10,2016,2,5,May,10,2,Tuesday,19,0
20160511,2016-05-11,2016,2,5,May,11,3,Wednesday,19,0
20160512,2016-05-12,2016,2,5,May,12,4,Thursday,19,0
20160513,2016-05-13,2016,2,5,May,13,5,Friday,19,0
20160514,2016-05-14,2016,2,5,May,14,6,Saturday,19,1
20160515,2016-05-15,2016,2,5,May,15,7,Sunday,19,1
20160516,2016-05-16,2016,2,5,May,16,1,Monday,20,0
20160517,2016-05-17,2016,2,5,May,17,2,Tuesday,20,0
20160518,2016-05-18,2016,2,5,May,18,3,Wednesday,20,0
20160519,2016-05-19,2016,2,5,May,19,4,Thursday,20,0
20160520,2016-05-20,2016,2,5,May,20,5,Friday,20,0
20160521,2016-05-21,2016,2,5,May,21,6,Saturday,20,1
20160522,2016-05-22,2016,2,5,May,22,7,Sunday,20,1
20160523,2016-05-23,2016,2,5,May,23,1,Monday,21,0
20160524,2016-05-24,2016,2,5,May,24,2,Tuesday,21,0
20160525,2016-05-25,2016,2,5,May,25,3,Wednesday,21,0
20160526,2016-05-26,2016,2,5,May,26,4,Thursday,21,0
20160527,2016-05-27,2016,2,5,May,27,5,Friday,21,0
20160528,2016-05-28,2016,2,5,May,28,6,Saturday,21,1
20160529,2016-05-29,2016,2,5,May,29,7,Sunday,21,1
20160530,2016-05-30,2016,2,5,May,30,1,Monday,22,0
20160531,2016-05-31,2016,2,5,May,31,2,Tuesday,22,0
20160601,2016-06-01,2016,2,6,June,1,3,Wednesday,22,0
20160602,2016-06-02,2016,2,6,June,2,4,Thursday,22,0
20160603,2016-06-03,2016,2,6,June,3,5,Friday,22,0
20160604,2016-06-04,2016,2,6,June,4,6,Saturday,22,1
20160605,2016-06-05,2016,2,6,June,5,7,Sunday,22,1
20160606,2016-06-06,2016,2,6,June,6,1,Monday,23,0
20160607,2016-06-07,2016,2,6,June,7,2,Tuesday,23,0
20160608,2016-06-08,2016,2,6,June,8,3,Wednesday,23,0
20160609,2016-06-09,2016,2,6,June,9,4,Thursday,23,0
20160610,2016-06-10,2016,2,6,June,10,5,Friday,23,0
20160611,2016-06-11,2016,2,6,June,11,6,Saturday,23,1
20160612,2016-06-12,2016,2,6,June,12,7,Sunday,23,1
20160613,2016-06-13,2016,2,6,June,13,1,Monday,24,0
20160614,2016-06-14,2016,2,6,June,14,2,Tuesday,24,0
20160615,2016-06-15,2016,2,6,June,15,3,Wednesday,24,0
20160616,2016-06-16,2016,2,6,June,16,4,Thursday,24,0
20160617,2016-06-17,2016,2,6,June,17,5,Friday,24,0
20160618,2016-06-18,2016,2,6,June,18,6,Saturday,24,1
20160619,2016-06-19,2016,2,6,June,19,7,Sunday,24,1
20160620,2016-06-20,2016,2,6,June,20,1,Monday,25,0
20160621,2016-06-21,2016,2,6,June,21,2,Tuesday,25,0
20160622,2016-06-22,2016,2,6,June,22,3,Wednesday,25,0
20160623,2016-06-23,2016,2,6,June,23,4,Thursday,25,0
20160624,2016-06-24,2016,2,6,June,24,5,Friday,25,0
20160625,2016-06-25,2016,2,6,June,25,6,Saturday,25,1
20160626,2016-06-26,2016,2,6,June,26,7,Sunday,25,1
20160627,2016-06-27,2016,2,6,June,27,1,Monday,26,0
20160628,2016-06-28,2016,2,6,June,28,2,Tuesday,26,0
20160629,2016-06-29,2016,2,6,June,29,3,Wednesday,26,0
20160630,2016-06-30,2016,2,6,June,30,4,Thursday,26,0
20160701,2016-07-01,2016,3,7,July,1,5,Friday,26,0
20160702,2016-07-02,2016,3,7,July,2,6,Saturday,26,1
20160703,2016-07-03,2016,3,7,July,3,7,Sunday,26,1
20160704,2016-07-04,2016,3,7,July,4,1,Monday,27,0
20160705,2016-07-05,2016,3,7,July,5,2,Tuesday,27,0
20160706,2016-07-06,2016,3,7,July,6,3,Wednesday,27,0
20160707,2016-07-07,2016,3,7,July,7,4,Thursday,27,0
20160708,2016-07-08,2016,3,7,July,8,5,Friday,27,0
20160709,2016-07-09,2016,3,7,July,9,6,Saturday,27,1
20160710,2016-07-10,2016,3,7,July,10,7,Sunday,27,1
20160711,2016-07-11,2016,3,7,July,11,1,Monday,28,0
20160712,2016-07-12,2016,3,7,July,12,2,Tuesday,28,0
20160713,2016-07-13,2016,3,7,July,13,3,Wednesday,28,0
20160714,2016-07-14,2016,3,7,July,14,4,Thursday,28,0
20160715,2016-07-15,2016,3,7,July,15,5,Friday,28,0
20160716,2016-07-16,2016,3,7,July,16,6,Saturday,28,1
20160717,2016-07-17,2016,3,7,July,17,7,Sunday,28,1
20160718,2016-07-18,2016,3,7,July,18,1,Monday,29,0
20160719,2016-07-19,2016,3,7,July,19,2,Tuesday,29,0
20160720,2016-07-20,2016,3,7,July,20,3,Wednesday,29,0
20160721,2016-07-21,2016,3,7,July,21,4,Thursday,29,0
20160722,2016-07-22,2016,3,7,July,22,5,Friday,29,0
20160723,2016-07-23,2016,3,7,July,23,6,Saturday,29,1
20160724,2016-07-24,2016,3,7,July,24,7,Sunday,29,1
20160725,2016-07-25,2016,3,7,July,25,1,Monday,30,0
20160726,2016-07-26,2016,3,7,July,26,2,Tuesday,30,0
20160727,2016-07-27,2016,3,7,July,27,3,Wednesday,30,0
20160728,2016-07-28,2016,3,7,July,28,4,Thursday,30,0
